episode_id,station_id,start_hour,end_hour,duration_hours,binary_fault,label_state,mechanisms,components,fired_channels,period
v2_000001,I90583612,2025-10-10 15:00:00+00:00,2025-10-10 15:00:00+00:00,1,0,benign,,,,pre_april
v2_000002,I90583612,2025-10-10 22:00:00+00:00,2025-10-10 22:00:00+00:00,1,0,benign,,,,pre_april
v2_000003,I90583612,2025-10-11 02:00:00+00:00,2025-10-11 02:00:00+00:00,1,0,benign,,,,pre_april
v2_000004,I90583612,2025-10-11 04:00:00+00:00,2025-10-11 04:00:00+00:00,1,0,benign,,,,pre_april
v2_000005,I90583612,2025-10-11 07:00:00+00:00,2025-10-11 07:00:00+00:00,1,0,benign,,,,pre_april
v2_000006,I90583612,2025-10-11 12:00:00+00:00,2025-10-11 12:00:00+00:00,1,0,benign,,,,pre_april
v2_000007,I90583612,2025-10-11 22:00:00+00:00,2025-10-11 22:00:00+00:00,1,0,benign,,,,pre_april
v2_000008,I90583612,2025-10-12 00:00:00+00:00,2025-10-12 01:00:00+00:00,2,0,benign,,,,pre_april
v2_000009,I90583612,2025-10-12 13:00:00+00:00,2025-10-12 13:00:00+00:00,1,0,benign,,,,pre_april
v2_000010,I90583612,2025-10-12 16:00:00+00:00,2025-10-12 16:00:00+00:00,1,0,benign,,,,pre_april
v2_000011,I90583612,2025-10-12 21:00:00+00:00,2025-10-12 21:00:00+00:00,1,0,benign,,,,pre_april
v2_000012,I90583612,2025-10-14 23:00:00+00:00,2025-10-14 23:00:00+00:00,1,0,benign,,,,pre_april
v2_000013,I90583612,2025-10-15 01:00:00+00:00,2025-10-15 02:00:00+00:00,2,0,benign,,,,pre_april
v2_000014,I90583612,2025-10-16 08:00:00+00:00,2025-10-16 09:00:00+00:00,2,0,benign,,,,pre_april
v2_000015,I90583612,2025-10-16 13:00:00+00:00,2025-10-16 13:00:00+00:00,1,0,benign,,,,pre_april
v2_000016,I90583612,2025-10-19 01:00:00+00:00,2025-10-19 01:00:00+00:00,1,0,benign,,,,pre_april
v2_000017,I90583612,2025-10-19 09:00:00+00:00,2025-10-19 09:00:00+00:00,1,0,benign,,,,pre_april
v2_000018,I90583612,2025-10-25 11:00:00+00:00,2025-10-25 14:00:00+00:00,4,0,benign,,,,pre_april
v2_000019,I90583612,2025-10-30 11:00:00+00:00,2025-10-30 11:00:00+00:00,1,0,benign,,,,pre_april
v2_000020,I90583612,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00,2,0,benign,,,,pre_april
v2_000021,I90583612,2025-11-03 05:00:00+00:00,2025-11-03 05:00:00+00:00,1,0,benign,,,,pre_april
v2_000022,I90583612,2025-11-03 08:00:00+00:00,2025-11-03 08:00:00+00:00,1,0,benign,,,,pre_april
v2_000023,I90583612,2025-11-04 05:00:00+00:00,2025-11-04 06:00:00+00:00,2,0,benign,,,,pre_april
v2_000024,I90583612,2025-11-16 12:00:00+00:00,2025-11-16 12:00:00+00:00,1,0,benign,,,,pre_april
v2_000025,I90583612,2025-11-17 09:00:00+00:00,2025-11-17 09:00:00+00:00,1,0,benign,,,,pre_april
v2_000026,I90583612,2025-11-18 12:00:00+00:00,2025-11-18 13:00:00+00:00,2,0,benign,,,,pre_april
v2_000027,I90583612,2025-11-20 04:00:00+00:00,2025-11-20 04:00:00+00:00,1,0,benign,,,,pre_april
v2_000028,I90583612,2025-11-21 00:00:00+00:00,2025-11-21 00:00:00+00:00,1,0,benign,,,,pre_april
v2_000029,I90583612,2025-11-22 06:00:00+00:00,2025-11-22 06:00:00+00:00,1,0,benign,,,,pre_april
