station_id,station_name,city,latitude,longitude,elevation,status_class,total_rows,present_rows,absent_rows,present_rate,first_timestamp_utc,last_timestamp_utc,first_present_timestamp,last_present_timestamp,warmup_rows,terminal_padded_absence_rows,true_outage_candidate_rows,online_partial_missing_rows,online_complete_rows
IALWAH18,Roaya-Awjila,Awjila,29.124472,21.285446,16,reliable_reference_candidate,7418,6684,734,0.9010514963602049,2025-08-25 22:00:00+0000,2026-06-30 23:00:00+0000,2025-08-25 22:00:00+0000,2026-06-30 21:00:00+0000,145,2,732,1227,5312
I90583612,Roaya-Al-Uwaynah,Al-Uwaynah,31.976779,12.482434,202,outage_dominated,5910,1152,4758,0.1949238578680203,2025-10-07 18:00:00+0000,2026-06-30 23:00:00+0000,2025-10-07 18:00:00+0000,2026-06-30 19:00:00+0000,59,4,4754,9,1084
IBARAS3,Roaya-Gharyan,Gharyan,32.143264,13.018256,216,reliable_reference_candidate,6412,5709,703,0.890361821584529,2025-10-06 20:00:00+0000,2026-06-30 23:00:00+0000,2025-10-06 20:00:00+0000,2026-06-30 21:00:00+0000,144,2,701,856,4709
IBIRAL3,Roaya-Ber Alghanam,Bir al Ghanam,32.318991,12.574238,41,reliable_reference_candidate,6434,5814,620,0.9036369288156668,2025-10-05 22:00:00+0000,2026-06-30 23:00:00+0000,2025-10-05 22:00:00+0000,2026-06-30 21:00:00+0000,119,2,618,911,4784
IDERNA7,Roaya-Derna,Derna,32.766357,22.641455,3,outage_dominated,8895,4763,4132,0.5354693648116919,2025-06-15 15:00:00+0000,2026-06-30 23:00:00+0000,2025-06-15 15:00:00+0000,2026-06-30 21:00:00+0000,132,2,4130,620,4011
IJABAL13,Roaya-Yafran,Yafran,32.101958,12.551183,640,reliable_but_terminal_gap,6457,5849,608,0.9058386247483351,2025-10-04 23:00:00+0000,2026-06-30 23:00:00+0000,2025-10-04 23:00:00+0000,2026-06-30 21:00:00+0000,140,2,606,936,4773
IJABAL14,Roaya-Zintan,Zintan,31.92421,12.264878,654,reliable_reference_candidate,6440,5971,469,0.9271739130434783,2025-10-05 16:00:00+0000,2026-06-30 23:00:00+0000,2025-10-05 16:00:00+0000,2026-06-30 21:00:00+0000,152,2,467,1,5818
IJABAL15,Roaya-Mizdah,Mizdah,31.461729,12.983949,144,reliable_reference_candidate,6440,5906,534,0.9170807453416149,2025-10-05 16:00:00+0000,2026-06-30 23:00:00+0000,2025-10-05 16:00:00+0000,2026-06-30 21:00:00+0000,144,2,532,161,5601
IJABAL16,Roaya-Al-Asabaa,Al-Asabaa,32.081197,12.888562,815,usable,6411,5454,957,0.8507253158633599,2025-10-06 21:00:00+0000,2026-06-30 23:00:00+0000,2025-10-06 21:00:00+0000,2026-06-30 21:00:00+0000,137,2,955,201,5116
IJANZO2,Roaya-Ganzour,Ganzour,32.820177,12.991854,5,reliable_reference_candidate,6348,5750,598,0.9057971014492754,2025-10-09 12:00:00+0000,2026-06-30 23:00:00+0000,2025-10-09 12:00:00+0000,2026-06-30 21:00:00+0000,129,2,596,355,5266
