review_id,cluster_label,cluster_size,role,needs_5min_confirmation,station_id,start_hour,end_hour,duration_hours,affected_sensor_groups,n_sensor_groups,dominant_detector,detector_concordance,max_abs_zscore,max_iforest_score,min_rolling_variance,reasons,cluster_probability,label
1,0,104,representative,True,IBARAS3,2025-10-18 23:00:00+00:00,2025-10-20 11:00:00+00:00,37,anemometer,1,stuck,1,1.0,0.4791694001830794,0.0,stuck_variance_zero,1.0,
2,0,104,representative,True,INUQAT9,2025-10-18 23:00:00+00:00,2025-10-20 18:00:00+00:00,44,anemometer,1,stuck,1,,0.47499787809562044,0.0,stuck_variance_zero,1.0,
3,0,104,representative,True,IJANZO2,2025-10-23 17:00:00+00:00,2025-10-25 08:00:00+00:00,40,anemometer,1,stuck,1,,0.47084374925085487,0.0,stuck_variance_zero,1.0,
4,0,104,representative,True,ITAHLI1,2025-10-27 23:00:00+00:00,2025-10-28 22:00:00+00:00,24,anemometer,1,stuck,1,,0.4704570356717972,0.0,stuck_variance_zero,1.0,
5,0,104,representative,True,IJANZO2,2025-11-01 11:00:00+00:00,2025-11-02 12:00:00+00:00,26,anemometer,1,stuck,1,0.0,0.47285165496858733,0.0,stuck_variance_zero,1.0,
6,0,104,boundary,True,IBARAS3,2025-10-20 17:00:00+00:00,2025-10-21 22:00:00+00:00,30,anemometer|wind_vane,2,stuck,2,7.225354262390381,0.6907230460703415,0.0,iforest_outlier|stuck_variance_zero,0.023191426831382998,
7,0,104,boundary,True,IBIRAL3,2026-01-21 22:00:00+00:00,2026-01-23 15:00:00+00:00,42,thermo_hygrometer|wind_vane,2,stuck,2,3.25,0.7157395626085383,0.0,iforest_outlier|stuck_variance_zero,0.020894396511907852,
8,1,135,representative,False,IMURQU6,2025-10-06 11:00:00+00:00,2025-10-06 13:00:00+00:00,3,light_uv,1,physical,2,492.1781818181818,0.8076785161342518,,iforest_outlier|physical_suspect_breach,1.0,
9,1,135,representative,False,IMURQU6,2025-10-07 11:00:00+00:00,2025-10-07 12:00:00+00:00,2,light_uv,1,physical,2,495.00363636363636,0.8227995175645829,6.0271739130434785,iforest_outlier|physical_suspect_breach,1.0,
10,1,135,representative,False,IALWAH18,2025-11-07 06:00:00+00:00,2025-11-07 06:00:00+00:00,1,light_uv,1,physical,2,16.0,0.7544062034535864,12.331521739130435,mad_high|physical_suspect_breach,1.0,
11,1,135,representative,False,ITAHLI1,2026-03-14 11:00:00+00:00,2026-03-14 13:00:00+00:00,3,light_uv,1,physical,2,626.2681704260654,0.7912835817652614,,iforest_outlier|physical_suspect_breach,1.0,
12,1,135,representative,False,IJABAL15,2026-03-17 11:00:00+00:00,2026-03-17 13:00:00+00:00,3,light_uv,1,physical,2,299.8207847295864,0.7748017247913891,,mad_high|physical_limit_breach,1.0,
13,1,135,boundary,False,IMURQU7,2026-01-26 22:00:00+00:00,2026-01-26 22:00:00+00:00,1,anemometer|rain_gauge,2,physical,3,14.0,0.86671909595118,,iforest_outlier|mad_high|physical_limit_breach,0.30872413037878776,
14,1,135,boundary,False,IMURQU7,2026-02-18 11:00:00+00:00,2026-02-18 12:00:00+00:00,2,barometer|rain_gauge,2,physical,3,24.411764705882355,0.8731936724926257,2.3008475119855465,iforest_outlier|mad_high|physical_limit_breach,0.3071515341589219,
15,2,56,representative,False,ITRIPO32,2025-10-14 10:00:00+00:00,2025-10-14 14:00:00+00:00,5,light_uv,1,zscore,1,5191.588235294118,0.5749933254834644,,mad_high,1.0,
16,2,56,representative,False,ITRIPO32,2025-10-21 09:00:00+00:00,2025-10-21 13:00:00+00:00,5,light_uv,1,zscore,1,6859.470588235295,0.687637829086702,,mad_high,1.0,
17,2,56,representative,False,ITRIPO32,2025-10-28 09:00:00+00:00,2025-10-28 14:00:00+00:00,6,light_uv,1,zscore,1,6883.823529411766,0.687637829086702,,mad_high,1.0,
18,2,56,representative,False,ITRIPO32,2025-10-30 10:00:00+00:00,2025-10-30 13:00:00+00:00,4,light_uv,1,zscore,1,6568.058823529412,0.664671313820128,,mad_high,1.0,
19,2,56,representative,False,ITRIPO32,2025-11-03 09:00:00+00:00,2025-11-03 09:00:00+00:00,1,light_uv,1,zscore,1,5689.000000000001,0.6345909833223511,,mad_high,1.0,
20,2,56,boundary,False,ITRIPO32,2025-11-01 09:00:00+00:00,2025-11-01 13:00:00+00:00,5,light_uv,1,zscore,1,7673.235294117647,0.7290843777644069,,mad_high,0.7384653517382763,
21,2,56,boundary,False,ITRIPO32,2025-10-19 09:00:00+00:00,2025-10-19 12:00:00+00:00,4,light_uv,1,zscore,1,8270.64705882353,0.7562145489747049,,mad_high,0.6226629366104335,
22,3,86,representative,False,IDERNA7,2025-08-11 12:00:00+00:00,2025-08-11 12:00:00+00:00,1,rain_gauge,1,iforest,1,,0.830445992544616,,iforest_outlier,1.0,
23,3,86,representative,False,IDERNA7,2025-08-17 06:00:00+00:00,2025-08-17 06:00:00+00:00,1,rain_gauge,1,iforest,1,,0.830445992544616,,iforest_outlier,1.0,
24,3,86,representative,False,IDERNA7,2025-08-18 06:00:00+00:00,2025-08-18 06:00:00+00:00,1,rain_gauge,1,iforest,1,,0.830445992544616,,iforest_outlier,1.0,
25,3,86,representative,False,IDERNA7,2025-08-18 13:00:00+00:00,2025-08-18 13:00:00+00:00,1,rain_gauge,1,iforest,1,,0.830445992544616,,iforest_outlier,1.0,
26,3,86,representative,False,IDERNA7,2025-08-19 10:00:00+00:00,2025-08-19 10:00:00+00:00,1,rain_gauge,1,iforest,1,,0.830445992544616,,iforest_outlier,1.0,
27,3,86,boundary,False,IMISRA12,2025-11-22 09:00:00+00:00,2025-11-22 23:00:00+00:00,15,rain_gauge,1,iforest,1,,0.8621309263580482,,iforest_outlier,0.02827733177517667,
28,3,86,boundary,False,IMISRA12,2025-11-21 11:00:00+00:00,2025-11-21 23:00:00+00:00,13,rain_gauge,1,iforest,1,,0.7954556170283593,,iforest_outlier,0.02771958283357106,
29,4,108,representative,False,IBARAS3,2025-10-12 11:00:00+00:00,2025-10-12 11:00:00+00:00,1,rain_gauge,1,iforest,1,,0.8439768102510187,0.043558579148324846,iforest_outlier,1.0,
30,4,108,representative,False,IJANZO2,2025-10-20 06:00:00+00:00,2025-10-20 06:00:00+00:00,1,rain_gauge,1,iforest,1,,0.852878565855367,0.2746902148369703,iforest_outlier,1.0,
31,4,108,representative,False,IMISRA12,2025-11-11 13:00:00+00:00,2025-11-11 13:00:00+00:00,1,rain_gauge,1,iforest,1,,0.8446558669226286,0.03559393821021317,iforest_outlier,1.0,
32,4,108,representative,False,IMISRA12,2025-11-11 16:00:00+00:00,2025-11-11 16:00:00+00:00,1,rain_gauge,1,iforest,1,,0.8446558669226286,0.06809275135866867,iforest_outlier,1.0,
33,4,108,representative,False,ITRIPO32,2025-11-27 19:00:00+00:00,2025-11-27 19:00:00+00:00,1,rain_gauge,1,iforest,1,,0.8480870029069223,0.0824608980618866,iforest_outlier,1.0,
34,4,108,boundary,False,IZAWIY5,2026-03-16 01:00:00+00:00,2026-03-16 13:00:00+00:00,13,rain_gauge,1,iforest,1,,0.8672837709226708,0.2646237106909025,iforest_outlier,0.016057208116456317,
35,4,108,boundary,False,IJABAL14,2025-12-03 10:00:00+00:00,2025-12-03 22:00:00+00:00,13,rain_gauge,1,iforest,1,,0.8719560005960673,0.2927372626567744,iforest_outlier,0.01605592345802375,
36,5,75,representative,False,IDERNA7,2025-06-18 00:00:00+00:00,2025-06-18 00:00:00+00:00,1,barometer|wind_vane,2,iforest,2,29.882352941176467,0.8317928924181308,,iforest_outlier|mad_high,1.0,
37,5,75,representative,False,IALWAH18,2025-09-01 17:00:00+00:00,2025-09-01 17:00:00+00:00,1,barometer|thermo_hygrometer,2,iforest,2,11.941176470588234,0.793930001410172,,iforest_outlier|mad_high,1.0,
38,5,75,representative,False,IDERNA7,2025-09-20 12:00:00+00:00,2025-09-20 13:00:00+00:00,2,thermo_hygrometer|wind_vane,2,iforest,2,18.223769278150336,0.6664742119903421,0.4541012807420791,iforest_outlier|mad_high,1.0,
39,5,75,representative,False,IBIRAL3,2025-10-15 12:00:00+00:00,2025-10-15 16:00:00+00:00,5,thermo_hygrometer|wind_vane,2,iforest,2,31.84939954403112,0.749171727873865,0.45928374639061337,iforest_outlier|mad_high,1.0,
40,5,75,representative,False,ITAHLI1,2025-10-16 12:00:00+00:00,2025-10-16 14:00:00+00:00,3,anemometer|thermo_hygrometer,2,iforest,1,4.5,0.7836883455656077,0.43297101449275355,iforest_outlier,1.0,
41,5,75,boundary,False,IMURQU7,2026-03-16 11:00:00+00:00,2026-03-16 11:00:00+00:00,1,anemometer|light_uv,2,iforest,2,18.0,0.8007379789281396,5.152173913043477,iforest_outlier|mad_high,0.9103840930075323,
42,5,75,boundary,False,INUQAT10,2026-03-21 12:00:00+00:00,2026-03-21 12:00:00+00:00,1,barometer|light_uv,2,iforest,1,299.9469696969697,0.784346561784175,0.9996260869565244,iforest_outlier,0.8960941952993747,
