station_id,health_total_mean_hard_zero,hard_zero_rank,health_total_mean_progressive,progressive_rank,mean_score_difference,rank_difference
INUQAT8,72.43144347000808,1,75.26225563456667,1,2.830812164558594,0
IMISRA13,68.74792311135641,5,73.25713065504164,2,4.509207543685221,-3
IJABAL14,69.63154132026484,2,72.80193544085724,3,3.170394120592391,1
IJABAL15,69.11289630220438,3,72.4996515593168,4,3.3867552571124264,1
IJANZO3,68.25901611505967,6,72.20883746273394,5,3.9498213476742734,-1
IJANZO2,65.95248748901932,7,69.60854735552947,6,3.656059866510148,-1
IZAWIY7,63.43590790570354,11,68.55422551720443,7,5.118317611500892,-4
INUQAT10,64.70342070972966,8,68.54558650396174,8,3.8421657942320877,0
INUQAT9,62.88397863135772,12,68.5301588554284,9,5.646180224070676,-3
IJABAL16,60.16039053250981,18,65.92594583826545,10,5.76555530575564,-8
IBARAS3,62.22793814584831,14,65.82283396417124,11,3.594895818322925,-3
IZAWIY5,62.52043600952238,13,65.37959620412661,12,2.859160194604236,-1
ITAHLI1,60.55366482103943,16,65.1055571861558,13,4.551892365116373,-3
ITRIPO33,63.95530123928426,9,65.06308731552431,14,1.1077860762400533,5
IALWAH18,68.98294296836818,4,64.97392779296412,15,-4.009015175404059,11
IMURQU7,59.48218133433569,19,64.73412960882817,16,5.251948274492477,-3
IMISRA12,63.828769506943495,10,63.655264750835016,17,-0.17350475610847838,7
IJABAL13,61.676736080328546,15,63.53360121493448,18,1.8568651346059326,3
IBIRAL3,60.41874795669391,17,62.20423411617264,19,1.7854861594787295,2
INALUT3,46.5489913306585,20,56.86549582925372,20,10.316504498595215,0
IMURQU5,45.80231117281326,21,52.68659459933413,21,6.8842834265208666,0
IMURQU6,39.566410230759175,22,47.44083113983374,22,7.874420909074566,0
IDERNA7,32.94675966121523,23,41.37977809284494,23,8.433018431629705,0
ITRIPO32,22.125221987352706,24,30.05610277949856,24,7.930880792145853,0
I90583612,11.257449656674053,25,26.549548942898124,25,15.29209928622407,0
IJANZO4,6.843223581440669,26,19.432635604698245,26,12.589412023257577,0
