station_id,health_total_mean,health_total_min,health_total_max,health_total_median,scored_hours,health_availability_mean,health_sensor_completeness_mean,health_fault_burden_mean,health_reference_consistency_mean,health_stability_mean
INUQAT8,75.26225563456667,10.226368033912701,95.50877840779522,76.71501022927619,6183,0.9250759472599765,0.9805161488732583,0.6000212772310313,0.5600061070997548,0.4499030702030111
IMISRA13,73.25713065504164,3.7527749919110454,91.82738531780296,76.67078997509094,6300,0.8703301871807813,0.9582076797440314,0.6579089193268957,0.5200580572741227,0.3734477602453333
IJABAL14,72.80193544085724,3.401844755548779,91.36984126984116,75.75596106561316,6273,0.9058668453754318,0.9702647676328217,0.6430374128080237,0.3697469653848346,0.45984949259647323
IJABAL15,72.4996515593168,3.974268918739292,93.49134667351152,74.75838212321524,6273,0.8912151430104562,0.9421021586291425,0.5677603850610177,0.5729634761351831,0.41326923278670674
IJANZO3,72.20883746273394,9.225052863876275,92.05857997403413,75.09870521656106,6198,0.8738343280383725,0.9349380675937585,0.5856039446196761,0.6037640821966174,0.35984864212664275
IJANZO2,69.60854735552947,4.38321506404855,94.46804707964722,71.85012236969568,6181,0.8714166933750277,0.9172869516580356,0.561843612672959,0.5254059384166034,0.319312812804489
IZAWIY7,68.55422551720443,7.5459721224321274,91.11747211273418,70.98210432225535,6232,0.8465821420489931,0.9348158273613694,0.5357974200624035,0.587243688484651,0.22568538796773904
INUQAT10,68.54558650396174,0.01386093012374498,93.44502758583099,72.48824597508819,6105,0.8372490506497637,0.9089847431590092,0.5538661299810512,0.556012910439065,0.3061573215176392
INUQAT9,68.5301588554284,9.700074744823098,90.65072357261623,70.96371387520408,6163,0.8086806457365594,0.875411090333592,0.6178198676816246,0.6293801078617258,0.1875319366693273
IJABAL16,65.92594583826545,1.4254866199565932,91.63303790642183,69.18935621649618,6244,0.8017222211427574,0.90388048856672,0.49471653236173335,0.5719046762021953,0.2850185980572067
IBARAS3,65.82283396417124,9.28037154870675,96.30898674403004,67.64954794645534,6245,0.8417797269090186,0.846295488792101,0.49715617357861097,0.5781456242274915,0.25424436781810206
IZAWIY5,65.37959620412661,0.20265069076866735,88.86265676472205,68.99338709654712,6267,0.8474668260225202,0.8953684178779702,0.4942822842579786,0.40106931746907043,0.36751261974060906
ITAHLI1,65.1055571861558,5.7102697224156,89.21125072923176,65.75047288915877,6210,0.8623409318618521,0.9567766234310316,0.3847804776845747,0.5923631878501452,0.15948370018130695
ITRIPO33,65.06308731552431,0.8566446023106175,97.98976883065949,69.10713090765192,6125,0.8270248508908299,0.755612119051554,0.5200138514056031,0.5794984426143152,0.34472764834135305
IALWAH18,64.97392779296412,0.08603733689637423,93.38109846068697,72.86318049702955,7251,0.7697199044921184,0.8348926594130196,0.6011742794469969,0.5000280822977172,0.2654699249299496
IMURQU7,64.73412960882817,3.3629056299564084,91.06322773204748,67.52260452152548,6221,0.8127013103090865,0.9346120628811526,0.4566881607061278,0.4842797040001843,0.29794494642765595
IMISRA12,63.655264750835016,13.871942703098272,91.35637659187765,67.56639722530753,6009,0.8208158353266004,0.7517649609667889,0.5709913427635677,0.5084743271650817,0.20935919951358165
IJABAL13,63.53360121493448,2.563612087900645,92.76432861947485,65.41665854545764,6290,0.8564574993136833,0.8360069672186401,0.5404906910821227,0.349649580864612,0.23627259011289242
IBIRAL3,62.20423411617264,0.21635994683211524,95.23189797295203,62.7994212688517,6267,0.8609479397278427,0.8408713961288321,0.5686267026355855,0.16296985325535882,0.2898152637040706
INALUT3,56.86549582925372,0.05018745829429701,85.78609174616602,60.38607343302669,6195,0.6513566708471981,0.7813897184974045,0.5177926958741885,0.5734944453567181,0.014976725668419804
IMURQU5,52.68659459933413,4.583592627925456e-13,86.71046543856781,63.797325445401164,6274,0.5810180847238852,0.7128149812815342,0.48562215809625714,0.47776921803747235,0.16926602090183812
IMURQU6,47.44083113983374,8.167523190561709e-11,87.9262300015461,60.59892431461499,6266,0.5092609295306567,0.6368214807084046,0.4507891277542379,0.49484210619300134,0.07342138529949781
IDERNA7,41.37977809284494,7.451416059006384e-14,85.45023043367742,52.6064928572313,8962,0.4232213330744679,0.5742183394558779,0.38568033084419956,0.4574581109183798,0.06948913766126541
ITRIPO32,30.05610277949856,3.4258570796409853e-12,88.79599145423653,21.15219839071818,6176,0.2534562219197904,0.45697130756133486,0.29371670232501146,0.31802026705874,0.11997684066717627
I90583612,26.549548942898124,2.5953404751309026e-10,80.05702379242165,19.161945360667012,6223,0.11818916755963026,0.41088521671492245,0.35142252920372286,0.36825930018836134,0.04767168488922723
IJANZO4,19.432635604698245,5.908945783909264e-50,72.66258891382124,0.9717262975616556,6180,0.07294232616794763,0.30259624111038913,0.2701750315903808,0.2867328509730899,0.013707244309616522
