=== Local outage co-occurrence (excluding network-wide window hours) ===
Excluded hours (across network-wide windows): 76
Total station pairs analyzed: 325
Pairs with computable ratio: 325

Interpretation:
  ratio = 1.0 means outages are independent (expected by chance)
  ratio > 1.0 means stations co-fail more often than chance

=== Co-occurrence ratio by distance bucket ===
                 n_pairs  median_ratio  mean_ratio  min_ratio  max_ratio
distance_bucket                                                         
0-25km                15      2.401457    2.520322   1.038737   5.555154
25-50km               34      3.163743    2.911199   0.992857   5.178103
50-100km              93      2.461642    2.689917   0.871494   6.627518
100-200km            105      1.873582    2.498594   0.971200   6.782527
200-500km             30      3.002251    2.922943   1.041808   6.615743
>500km                48      1.453141    2.584601   0.965079   6.910631

=== Top 15 pairs by co-occurrence ratio ===
station_a station_b  distance_km  n_both_active_hours  n_both_offline  expected_both_offline_if_independent  cooccurrence_ratio
 IALWAH18   INUQAT8   981.603529                 4092             183                             26.480938            6.910631
 IJABAL15   INUQAT8   186.142182                 4092             181                             26.686217            6.782527
 IJABAL13   INUQAT8   104.054176                 4058             181                             26.702809            6.778313
 IALWAH18  IJABAL15   838.068851                 4180             257                             38.237081            6.721224
 IJABAL13  IJABAL15    82.105492                 4146             272                             41.041003            6.627518
 IMISRA13   INUQAT8   251.662154                 4092             244                             36.881720            6.615743
 IALWAH18  IJABAL13   898.651969                 4163             228                             38.187845            5.970486
 IJABAL15   ITAHLI1   115.894656                 4119             277                             46.721049            5.928805
 IJABAL15   IJANZO2   151.054359                 4090             222                             37.474328            5.924056
  IJANZO2   INUQAT8    96.060008                 4090             156                             26.904645            5.798255
  INUQAT8   ITAHLI1   109.300950                 4092             187                             32.434018            5.765552
 IJABAL15   IZAWIY7   145.039916                 4139             270                             47.097367            5.732805
 IJABAL15  IMISRA12   207.203545                 3922             224                             39.490056            5.672314
  IJANZO2   IJANZO3    13.207627                 4090             237                             42.663081            5.555154
  IBARAS3  IJABAL15    75.852549                 4152             297                             53.813343            5.519077

=== All pairs within 25 km ===
station_a station_b  distance_km  n_both_active_hours  n_both_offline  expected_both_offline_if_independent  cooccurrence_ratio
I90583612  IJABAL13    15.353775                 3629             354                            321.452191            1.101252
I90583612  IJABAL14    21.342393                 3629             281                            270.520805            1.038737
  IBARAS3  IJABAL16    14.029853                 4151             226                             91.361359            2.473694
  IBIRAL3  IJABAL13    24.230248                 4140             240                             55.629952            4.314223
  IJANZO2   IJANZO3    13.207627                 4090             237                             42.663081            5.555154
  IJANZO2   IJANZO4    24.345955                 3479             338                            299.209256            1.129644
  IJANZO2  ITRIPO33    17.129530                 3959             226                             63.134125            3.579681
  IJANZO2   IZAWIY7    19.375539                 4090             152                             42.278729            3.595189
  IJANZO3   IZAWIY7     6.256250                 4107             109                             48.000000            2.270833
  IJANZO4  ITRIPO33    21.595700                 3424             319                            295.070093            1.081099
 INUQAT10   INUQAT9    12.956084                 4014             253                            108.190583            2.338466
 INUQAT10   IZAWIY5    24.614102                 4014             204                             84.948430            2.401457
  INUQAT9   IZAWIY5    12.292673                 4072             256                             84.410609            3.032794
 ITRIPO32  ITRIPO33    21.222735                 3583             423                            315.431203            1.341021
  IZAWIY5   IZAWIY7    20.246468                 4139             158                             61.922203            2.551589
