station_a,station_b,distance_km,n_both_active_hours,n_offline_a,n_offline_b,n_both_offline,p_offline_a,p_offline_b,expected_both_offline_if_independent,cooccurrence_ratio
I90583612,IALWAH18,900.2902537346487,3348,2776,79,63,0.8291517323775388,0.023596176821983273,65.50298685782556,0.9617882026775618
I90583612,IBARAS3,53.78065168185605,3301,2696,162,99,0.8167222053923053,0.04907603756437443,132.30899727355347,0.7482484338938344
I90583612,IBIRAL3,39.02145338291991,3350,2768,178,167,0.8262686567164179,0.05313432835820896,147.07582089552238,1.1354687601480808
I90583612,IDERNA7,957.7367848173247,3446,2841,1428,1225,0.8244341265235056,0.4143934997098085,1177.291932675566,1.0405235659909862
I90583612,IJABAL13,15.353775091257571,3302,2727,39,36,0.8258631132646881,0.011811023622047244,32.20866141732283,1.1177117711771178
I90583612,IJABAL14,21.342393464827285,3398,2823,111,96,0.8307828134196587,0.03266627427898764,92.2168922895821,1.041024020832735
I90583612,IJABAL15,74.36490147350491,3278,2706,47,22,0.825503355704698,0.014338010982306285,38.79865771812081,0.567029925618405
I90583612,IJABAL16,40.00705072309914,3279,2701,305,268,0.8237267459591339,0.09301616346447088,251.23665751753583,1.0667233143765817
I90583612,IJANZO2,105.27287048307909,3308,2727,117,104,0.8243651753325272,0.03536880290205562,96.45072551390568,1.0782707900419672
I90583612,IJANZO3,96.4344086420241,3347,2762,171,118,0.8252166118912458,0.05109052883178966,141.11204063340304,0.8362149641542912
I90583612,IJANZO4,104.1815522122107,2885,2316,2253,1784,0.8027729636048527,0.7809358752166378,1808.6474870017332,0.9863724207293748
I90583612,IMISRA12,246.05239451877947,3181,2678,194,165,0.8418736246463376,0.060987110971392644,163.3234831813895,1.0102650077377333
I90583612,IMISRA13,201.1984926860181,3320,2744,136,103,0.8265060240963855,0.04096385542168675,112.40481927710843,0.9163308180415023
I90583612,IMURQU5,113.08819825552143,3042,2482,591,533,0.8159105851413544,0.1942800788954635,482.2031558185404,1.1053432429226473
I90583612,IMURQU6,181.86292984697232,3001,2467,1032,865,0.8220593135621459,0.34388537154281906,848.3652115961346,1.0196080510804637
I90583612,IMURQU7,159.50954126564628,3356,2785,220,194,0.8298569725864124,0.06555423122765197,182.56853396901076,1.0626146564387138
I90583612,INALUT3,103.85766294878017,3289,2696,1069,816,0.8197020370933414,0.32502280328367283,876.261477652782,0.9312288863659706
I90583612,INUQAT10,89.6758635933239,3218,2688,369,324,0.8353014294592915,0.1146674953387197,308.2262274704786,1.0511759581881532
I90583612,INUQAT8,113.24206760213013,3406,2809,77,44,0.8247210804462712,0.022607163828537873,63.503523194362884,0.6928749427859432
I90583612,INUQAT9,84.53025371469423,3284,2691,289,241,0.8194275274056029,0.08800243605359317,236.8145554202192,1.0176739329740685
I90583612,ITAHLI1,78.40578975527269,3308,2715,160,91,0.8207376058041113,0.04836759371221282,131.3180169286578,0.6929742173112338
I90583612,ITRIPO32,131.65415023516158,3227,2636,1570,1363,0.8168577626278277,0.4865199876045863,1282.4666873256895,1.0627956370876546
I90583612,ITRIPO33,119.00093717049711,3240,2681,293,245,0.8274691358024692,0.0904320987654321,242.44845679012346,1.0105240645523486
I90583612,IZAWIY5,86.74993627308899,3445,2840,284,221,0.8243831640058055,0.08243831640058055,234.12481857764874,0.9439409343384251
I90583612,IZAWIY7,91.66800741962604,3343,2749,198,147,0.8223152856715525,0.0592282381094825,162.8184265629674,0.9028462140502882
IALWAH18,IBARAS3,858.9195973430495,3734,89,172,6,0.023835029459025173,0.046063202999464384,4.09962506695233,1.4635484713875095
IALWAH18,IBIRAL3,904.9031759757489,3798,92,208,11,0.02422327540810953,0.05476566614007372,5.038441284886782,2.183214882943144
IALWAH18,IDERNA7,425.09213981708933,4656,154,2031,108,0.03307560137457045,0.43621134020618557,67.17654639175258,1.6077039651633447
IALWAH18,IJABAL13,898.6519694517569,3777,89,47,3,0.023563674874238813,0.012443738416732858,1.1074927190892243,2.708821420033469
IALWAH18,IJABAL14,918.0248557673087,3851,94,119,4,0.024409244352116333,0.030901064658530254,2.9047000779018437,1.3770784909708564
IALWAH18,IJABAL15,838.0688514573457,3824,91,53,8,0.023797071129707113,0.013859832635983263,1.2612447698744769,6.342940078789136
IALWAH18,IJABAL16,867.951915929484,3751,93,343,0,0.024793388429752067,0.09144228205811783,8.50413223140496,0.0
IALWAH18,IJANZO2,890.7086415653675,3710,93,100,15,0.025067385444743934,0.026954177897574125,2.5067385444743935,5.983870967741936
IALWAH18,IJANZO3,900.4352776529939,3748,93,157,6,0.024813233724653147,0.04188900747065102,3.8956776947705443,1.5401684816108485
IALWAH18,IJANZO4,866.8306274613647,2900,46,2238,39,0.015862068965517243,0.7717241379310344,35.499310344827585,1.0986128919454483
IALWAH18,IMISRA12,672.1934249749501,3703,92,236,1,0.024844720496894408,0.06373210910072914,5.863354037267081,0.1705508474576271
IALWAH18,IMISRA13,734.5404696482832,3802,92,153,3,0.0241977906365071,0.04024197790636507,3.7022619673855863,0.8103154305200342
IALWAH18,IMURQU5,812.595571461042,3450,62,612,9,0.017971014492753623,0.17739130434782607,10.998260869565216,0.8183111954459203
IALWAH18,IMURQU6,778.1614126474533,3050,53,1024,22,0.01737704918032787,0.3357377049180328,17.794098360655738,1.2363649764150944
IALWAH18,IMURQU7,782.0272821987522,3782,94,316,19,0.024854574299312534,0.08355367530407191,7.854045478582759,2.419135469970375
IALWAH18,INALUT3,1000.3731273093186,3737,94,1190,17,0.025153866738025155,0.31843724913031846,29.933101418249937,0.5679331306990881
