=== Window durations from hourly row states ===
Total windows analyzed: 31
  Midnight (22 or 23 UTC): 22
  Non-midnight: 9

=== Midnight events: per-station outage durations ===
Median of median per-station duration: 24.0h
Range across windows: 2.0h to 116.0h
Total station-events that never recovered: 0

=== Non-midnight events: per-station outage durations ===
Median of median per-station duration: 2.0h
Range across windows: 1.0h to 5.0h

=== Per-window summary ===
     window_id          window_start_utc  station_count  n_stations_in_window  n_with_duration  n_never_recovered  start_spread_hours  median_duration_hours  max_duration_hours  recovery_spread_hours status
NW_20251007T23 2025-10-07 23:00:00+00:00              8                     8                8                  0                 0.0                  116.0               192.0                  106.0     ok
NW_20251012T23 2025-10-12 23:00:00+00:00             20                    20               20                  0                 0.0                   72.0               183.0                  159.0     ok
NW_20251015T23 2025-10-15 23:00:00+00:00              5                     5                5                  0                 0.0                   72.0               111.0                   87.0     ok
NW_20251016T22 2025-10-16 22:00:00+00:00             17                    17               17                  0                 1.0                   48.0               161.0                  137.0     ok
NW_20251021T23 2025-10-21 23:00:00+00:00             18                    18               18                  0                 0.0                   24.0                41.0                   18.0     ok
NW_20251026T22 2025-10-26 22:00:00+00:00             11                    11               11                  0                 1.0                   24.0               109.0                   95.0     ok
NW_20251028T23 2025-10-28 23:00:00+00:00             12                    12               12                  0                 0.0                   24.0                24.0                    1.0     ok
NW_20251105T23 2025-11-05 23:00:00+00:00             12                    12               12                  0                 0.0                   24.0                32.0                   19.0     ok
NW_20251110T22 2025-11-10 22:00:00+00:00              9                     9                9                  0                 1.0                   24.0                55.0                   30.0     ok
NW_20251111T23 2025-11-11 23:00:00+00:00              8                     8                8                  0                 0.0                   24.0                24.0                    0.0     ok
NW_20251113T22 2025-11-13 22:00:00+00:00             15                    15               15                  0                 1.0                   24.0                48.0                   24.0     ok
NW_20251114T23 2025-11-14 23:00:00+00:00              6                     6                6                  0                 1.0                   24.0                55.0                   55.0     ok
NW_20251119T23 2025-11-19 23:00:00+00:00             21                    21               21                  0                 0.0                   24.0                24.0                    0.0     ok
NW_20251122T22 2025-11-22 22:00:00+00:00             16                    16               16                  0                 1.0                   24.0                41.0                   16.0     ok
NW_20251124T23 2025-11-24 23:00:00+00:00             16                    16               16                  0                 0.0                   24.0                24.0                    0.0     ok
NW_20251128T22 2025-11-28 22:00:00+00:00             16                    16               16                  0                 1.0                   24.0                62.0                   37.0     ok
NW_20251203T14 2025-12-03 14:00:00+00:00              5                     5                5                  0                 2.0                    5.0                42.0                   40.0     ok
NW_20251203T23 2025-12-03 23:00:00+00:00             18                    18               18                  0                 0.0                   24.0                26.0                   24.0     ok
NW_20251207T16 2025-12-07 16:00:00+00:00              5                     5                5                  0                 1.0                    1.0                 2.0                    2.0     ok
NW_20251229T07 2025-12-29 07:00:00+00:00              5                     5                5                  0                 2.0                    2.0                22.0                   23.0     ok
NW_20251231T16 2025-12-31 16:00:00+00:00              5                     5                5                  0                 2.0                    1.0                 3.0                    3.0     ok
NW_20260131T12 2026-01-31 12:00:00+00:00              6                     6                6                  0                 2.0                    4.0                69.0                   68.0     ok
NW_20260201T09 2026-02-01 09:00:00+00:00              5                     5                5                  0                 1.0                    3.0                 5.0                    5.0     ok
NW_20260206T16 2026-02-06 16:00:00+00:00              6                     6                6                  0                 2.0                    2.0               190.0                  191.0     ok
NW_20260303T23 2026-03-03 23:00:00+00:00              6                     6                6                  0                 0.0                   24.0                24.0                   22.0     ok
NW_20260305T23 2026-03-05 23:00:00+00:00              6                     6                6                  0                 0.0                   24.0                24.0                    0.0     ok
NW_20260307T23 2026-03-07 23:00:00+00:00              7                     7                7                  0                 0.0                   39.0                40.0                    1.0     ok
NW_20260308T23 2026-03-08 23:00:00+00:00             14                    14               14                  0                 0.0                   15.0                16.0                    1.0     ok
NW_20260316T22 2026-03-16 22:00:00+00:00              6                     6                6                  0                 2.0                    2.0                19.0                   19.0     ok
NW_20260317T02 2026-03-17 02:00:00+00:00              6                     6                6                  0                 2.0                    2.5                12.0                   11.0     ok
NW_20260317T17 2026-03-17 17:00:00+00:00              6                     6                6                  0                 2.0                    1.0                 2.0                    3.0     ok
