window_id,window_start_utc,window_end_utc,station_count_in_window,outage_class,stations_targeted,n_with_last_before,n_with_first_after,drop_min_utc,drop_max_utc,drop_spread_seconds,drop_median_utc,recovery_min_utc,recovery_max_utc,recovery_spread_seconds,recovery_median_utc,outage_duration_minutes,status,drop_sync_class
NW_20251007T23,2025-10-07 23:00:00+00:00,2025-10-07 23:00:00+00:00,8,unknown,8,8,8,2025-10-07 21:59:01+00:00,2025-10-07 21:59:49+00:00,48.0,2025-10-07 21:59:23.500000+00:00,2025-10-08 22:04:00+00:00,2025-10-08 22:04:34+00:00,34.0,2025-10-08 22:04:15.500000+00:00,1444.8666666666666,ok,tight
NW_20251012T23,2025-10-12 23:00:00+00:00,2025-10-12 23:00:00+00:00,20,unknown,20,20,13,2025-10-12 21:37:24+00:00,2025-10-12 21:59:59+00:00,1355.0,2025-10-12 21:59:31+00:00,2025-10-13 22:04:00+00:00,2025-10-13 22:29:42+00:00,1542.0,2025-10-13 22:04:09+00:00,1444.6333333333334,ok,loose
NW_20251015T23,2025-10-15 23:00:00+00:00,2025-10-15 23:00:00+00:00,5,unknown,5,5,2,2025-10-15 21:59:01+00:00,2025-10-15 21:59:56+00:00,55.0,2025-10-15 21:59:07+00:00,2025-10-16 22:04:08+00:00,2025-10-16 22:04:49+00:00,41.0,2025-10-16 22:04:28.500000+00:00,1445.3583333333333,ok,tight
NW_20251016T22,2025-10-16 22:00:00+00:00,2025-10-16 23:00:00+00:00,17,unknown,17,17,2,2025-10-16 20:58:53+00:00,2025-10-16 21:59:54+00:00,3661.0,2025-10-16 21:59:32+00:00,2025-10-17 22:04:24+00:00,2025-10-18 21:33:28+00:00,84544.0,2025-10-18 09:48:56+00:00,2149.4,ok,loose
NW_20251021T23,2025-10-21 23:00:00+00:00,2025-10-21 23:00:00+00:00,18,unknown,18,18,18,2025-10-21 21:59:00+00:00,2025-10-21 21:59:59+00:00,59.0,2025-10-21 21:59:37+00:00,2025-10-22 22:04:01+00:00,2025-10-22 22:04:59+00:00,58.0,2025-10-22 22:04:40.500000+00:00,1445.0583333333334,ok,tight
NW_20251026T22,2025-10-26 22:00:00+00:00,2025-10-26 23:00:00+00:00,11,unknown,11,11,10,2025-10-26 20:51:46+00:00,2025-10-26 21:59:57+00:00,4091.0,2025-10-26 21:59:36+00:00,2025-10-27 12:49:36+00:00,2025-10-27 22:04:59+00:00,33323.0,2025-10-27 22:04:41+00:00,1445.0833333333333,ok,loose
NW_20251028T23,2025-10-28 23:00:00+00:00,2025-10-28 23:00:00+00:00,12,unknown,12,12,12,2025-10-28 21:54:34+00:00,2025-10-28 21:59:59+00:00,325.0,2025-10-28 21:59:46+00:00,2025-10-29 22:01:50+00:00,2025-10-29 22:54:59+00:00,3189.0,2025-10-29 22:04:45.500000+00:00,1444.9916666666666,ok,loose
NW_20251105T23,2025-11-05 23:00:00+00:00,2025-11-05 23:00:00+00:00,12,unknown,12,12,12,2025-11-05 21:59:10+00:00,2025-11-05 22:29:53+00:00,1843.0,2025-11-05 21:59:50+00:00,2025-11-06 11:04:21+00:00,2025-11-07 06:44:11+00:00,70790.0,2025-11-06 22:04:52+00:00,1445.0333333333333,ok,loose
NW_20251110T22,2025-11-10 22:00:00+00:00,2025-11-10 23:00:00+00:00,9,unknown,9,9,5,2025-11-10 21:11:21+00:00,2025-11-10 21:59:53+00:00,2912.0,2025-11-10 21:59:31+00:00,2025-11-11 22:04:11+00:00,2025-11-11 22:04:53+00:00,42.0,2025-11-11 22:04:28+00:00,1444.95,ok,loose
NW_20251111T23,2025-11-11 23:00:00+00:00,2025-11-11 23:00:00+00:00,8,unknown,8,8,8,2025-11-11 21:59:06+00:00,2025-11-11 21:59:29+00:00,23.0,2025-11-11 21:59:27+00:00,2025-11-12 22:04:05+00:00,2025-11-12 22:04:30+00:00,25.0,2025-11-12 22:04:27.500000+00:00,1445.0083333333334,ok,tight
