=== Window geography analysis ===
Total windows analyzed: 31
  Midnight (22-23 UTC): 22
  Non-midnight: 9

=== Midnight events: max pairwise distance ===
Median max distance: 957.3 km
Mean max distance: 721.4 km
Range: 93.5 km to 1060.2 km

=== Non-midnight events: max pairwise distance ===
Median max distance: 349.8 km
Mean max distance: 559.5 km
Range: 119.6 km to 1060.2 km

=== Non-midnight events: distance distribution ===
max_pairwise_km
0-25km       0
25-50km      0
50-100km     0
100-200km    3
200-500km    2
>500km       4

=== Per-window geography detail ===
     window_id          window_start_utc  is_midnight  station_count  n_stations_resolved  max_pairwise_km  median_pairwise_km  lat_range  lon_range status
NW_20251007T23 2025-10-07 23:00:00+00:00         True              8                    8       192.272438          104.431527   1.294919   2.023218     ok
NW_20251012T23 2025-10-12 23:00:00+00:00         True             20                   20      1000.373127          110.694031   3.773372   9.903790     ok
NW_20251015T23 2025-10-15 23:00:00+00:00         True              5                    5        93.478591           60.575005   0.738980   0.671696     ok
NW_20251016T22 2025-10-16 22:00:00+00:00         True             17                   17      1060.180633          151.108979   3.773372  11.259799     ok
NW_20251021T23 2025-10-21 23:00:00+00:00         True             18                   18      1000.373127          117.609354   3.773372   9.903790     ok
NW_20251026T22 2025-10-26 22:00:00+00:00         True             11                   11       228.415043          100.533658   1.419667   2.233874     ok
NW_20251028T23 2025-10-28 23:00:00+00:00         True             12                   12      1060.180633           89.695563   1.358448  11.259799     ok
NW_20251105T23 2025-11-05 23:00:00+00:00         True             12                   12       349.838238          110.441459   1.419667   3.709385     ok
NW_20251110T22 2025-11-10 22:00:00+00:00         True              9                    9       203.547921           93.484592   1.294919   2.122085     ok
NW_20251111T23 2025-11-11 23:00:00+00:00         True              8                    8      1060.180633          312.421522   3.756924  11.259799     ok
NW_20251113T22 2025-11-13 22:00:00+00:00         True             15                   15      1060.180633          104.054176   0.893384  11.259799     ok
NW_20251114T23 2025-11-14 23:00:00+00:00         True              6                    6       918.024856          134.411232   3.565672   9.020568     ok
NW_20251119T23 2025-11-19 23:00:00+00:00         True             21                   21      1000.373127          115.047589   3.773372   9.903790     ok
NW_20251122T22 2025-11-22 22:00:00+00:00         True             16                   16       302.899582           91.342579   0.921065   3.192745     ok
NW_20251124T23 2025-11-24 23:00:00+00:00         True             16                   16      1000.373127          110.694031   3.756786   9.903790     ok
NW_20251128T22 2025-11-28 22:00:00+00:00         True             16                   16      1000.373127           97.816296   3.756924   9.903790     ok
NW_20251203T14 2025-12-03 14:00:00+00:00        False              5                    5       213.493316          104.019608   0.713365   2.241761     ok
NW_20251203T23 2025-12-03 23:00:00+00:00         True             18                   18      1000.373127          117.581133   3.773372   9.903790     ok
NW_20251207T16 2025-12-07 16:00:00+00:00        False              5                    5       172.501176           81.594363   0.533259   1.775552     ok
NW_20251229T07 2025-12-29 07:00:00+00:00        False              5                    5       349.838238          149.227973   0.780978   3.709385     ok
NW_20251231T16 2025-12-31 16:00:00+00:00        False              5                    5      1000.373127          290.648829   3.532758   9.903790     ok
NW_20260131T12 2026-01-31 12:00:00+00:00        False              6                    6      1060.180633          157.179854   0.779775  11.259799     ok
NW_20260201T09 2026-02-01 09:00:00+00:00        False              5                    5       932.899416          188.024548   3.632176   8.833130     ok
NW_20260206T16 2026-02-06 16:00:00+00:00        False              6                    6       119.592285           73.102938   0.800199   1.188490     ok
NW_20260303T23 2026-03-03 23:00:00+00:00         True              6                    6       932.899416          192.037371   3.627885   9.020568     ok
NW_20260305T23 2026-03-05 23:00:00+00:00         True              6                    6       222.506125          142.028614   0.828147   2.309523     ok
NW_20260307T23 2026-03-07 23:00:00+00:00         True              7                    7       302.899582          140.107284   0.828147   3.192745     ok
NW_20260308T23 2026-03-08 23:00:00+00:00         True             14                   14       981.603529           92.835982   3.773372   9.317860     ok
NW_20260316T22 2026-03-16 22:00:00+00:00         True              6                    6       898.651969          151.879244   3.532758   8.734263     ok
NW_20260317T02 2026-03-17 02:00:00+00:00        False              6                    6       186.142182           82.105492   1.436115   1.050670     ok
NW_20260317T17 2026-03-17 17:00:00+00:00        False              6                    6      1000.373127          193.284226   3.756786   9.903790     ok
